id,label,url,landmark_id
0992e5594475a9ab,0,https://upload.wikimedia.org/wikipedia/commons/1/14/Isa_Khan_Niyazi%27s_Tomb_%283544842835%29.jpg,27
0730f719e78924e3,0,https://upload.wikimedia.org/wikipedia/commons/b/b8/Isa_Khan_Niyazi%27s_Tomb_Screened_wall_and_domed_ceiling_%283544589675%29.jpg,27
026afdc670937e3b,0,https://upload.wikimedia.org/wikipedia/commons/f/f2/Isa_Khan_Niyazi%27s_Tomb1.jpg,27
0362bd7cb1d405e6,0,https://upload.wikimedia.org/wikipedia/commons/3/33/Tomb_of_Isa_Khan_Niyazi_-_Green.JPG,27
0480c64cd691d4a4,0,https://upload.wikimedia.org/wikipedia/commons/0/01/The_tomb_of_Isa_Khan_Niyazi_b66.jpg,27
0494a4b4e535990b,0,https://upload.wikimedia.org/wikipedia/commons/9/97/The_tomb_of_Isa_Khan_Niyazi_82.jpg,27
043df08d08e77376,0,https://upload.wikimedia.org/wikipedia/commons/c/cc/The_tomb_of_Isa_Khan_Niyazi_ND01.jpg,27
053e45337a27d966,0,https://upload.wikimedia.org/wikipedia/commons/0/0e/The_tomb_of_Isa_Khan_Niyazi_74.jpg,27
06edfd68c11174ae,0,https://upload.wikimedia.org/wikipedia/commons/7/73/Isa_Khan_Niyazi%27s_Tomb_and_mosque_%283544844031%29.jpg,27
038450020a8c3338,0,https://upload.wikimedia.org/wikipedia/commons/3/34/The_tomb_of_Isa_Khan_Niyazi_049.jpg,27
04c2c4c721621980,0,https://upload.wikimedia.org/wikipedia/commons/0/07/Isa_Khan%27s_Tomb_Delhi_ec-4.jpg,27
067f2d8ea47a5161,0,https://upload.wikimedia.org/wikipedia/commons/9/9e/The_tomb_of_Isa_Khan_Niyazi_b80.jpg,27
04104ac526aac788,0,https://upload.wikimedia.org/wikipedia/commons/3/34/Isa_Khan%27s_tomb_ceiling_art.jpg,27
083dce4eaeaf9fcb,0,https://upload.wikimedia.org/wikipedia/commons/7/7d/The_tomb_of_Isa_Khan_Niyazi_b41.jpg,27
062b98a7b4dd967a,0,https://upload.wikimedia.org/wikipedia/commons/8/8c/The_tomb_of_Isa_Khan_Niyazi_66.jpg,27
0110a04e618bc368,0,https://upload.wikimedia.org/wikipedia/commons/3/3f/The_tomb_of_Isa_Khan_Niyazi_003.jpg,27
015b884b6a081c7d,1,https://upload.wikimedia.org/wikipedia/commons/5/5a/U0007_%2810221584043%29.jpg,226
05e055537eed7224,1,https://upload.wikimedia.org/wikipedia/commons/2/2d/MonroviaCalifornia-SanGabrielMtnView1_%2834745481906%29.jpg,226
091ba45944985ade,1,https://upload.wikimedia.org/wikipedia/commons/2/2b/LIttleTokyo-Chinatown-ElPuebloSignLA_1800_%2834785803155%29.jpg,226
